document,id,subject,category,country,gender,appeal_date,issue_date,action,all_dates
1386,99/12,first update to 99/12 on cuba,prisoner of conscience|freedom of expression|intimidation|male|cuba|uas 2012,cuba,,2012-05-23,2012-04-13,unknown,2012-04-04|2012-04-13|2012-05-23
1388,91/11,first update to 91/11 on saudi arabia,risk of torture|risk of ill-treatment|prisoner of conscience|human rights defender|male|saudi arabia|uas 2012,saudi arabia,,2012-05-27,2012-04-13,unknown,2011-03-25|2012-04-13|2012-05-27|2011-03-07|2011-03-05|2011-03-20
1390,104/12,ua 104/12 on iran,prisoner of conscience|freedom of expression|human rights defender|female|iran|uas 2012,iran,,2012-05-27,2012-04-13,initial,2012-04-13|2012-04-04|2011-12-25|2011-07-09|2010-03-17|2011-12-27|2012-05-27|2009-12-05|2010-01-09|2010-01-11||2008-08-29
1392,132/11,second update to ua 132/11 on vietnam,prisoner of conscience|torture/ill-treatment|legal concern|male|vietnam|uas 2012,vietnam,,2012-05-24,2012-04-12,second update,2011-05-10|2011-07-27|2012-04-12|2012-05-24
1394,139/11,sixth update to ua 139/11 on bahrain,prisoner of conscience|medical concern|torture/ill-treatment|male|bahrain|uas 2012,bahrain,,2012-05-11,2012-04-12,sixth update,2011-05-12|2011-06-23|2011-07-03|2011-09-06|2011-09-28|2012-03-30|2012-04-12|2012-02-08|2012-05-11|2011-09-28
1396,76/12,final update to ua 76/12 on syria,abduction|prisoner of conscience|legal concern|male|syria|uas 2012,syria,,,2012-04-12,final update,2012-03-08|2012-04-12|2012-02-11
1398,91/12,final update to ua 91/12 on cuba,prisoner of conscience|freedom of expression|cuba|uas 2012,cuba,,,2012-04-11,final update,2012-04-11
1400,98/12,final update to ua 98/12 on suriname,legal concern|suriname|uas 2012,suriname,,,2012-04-11,final update,2012-04-11||
1402,294/11,final update to ua 294/11 on brazil,|subject:  final update to ua 294/11 on brazil,brazil,,,2012-04-11,final update,2011-09-28|2012-02-15|2012-04-11
1404,294/11,third update to ua 294/11 on brazil,forced eviction|brazil|uas 2012,brazil,,,2012-04-11,third update,2011-09-28|2012-02-15|2012-04-11
1406,103/12,first update to 103/12 on palestinian authority,death penalty|male|palestinian authority|uas 2012,palestine authority,,2012-05-22,2012-04-10,unknown,2012-04-05|2012-04-10|2012-04-07|2012-04-07|2010-12-06|2012-05-22||2011-05-04
1408,367/11,third update to 367/11 on india,arbitrary arrest|freedom of expression|risk of torture|india|uas 2012,india,,2012-05-22,2012-04-10,unknown,2011-12-21|2012-03-22|2012-04-10|2012-05-22
1410,304/11,first update to ua 304/11 on saudi arabia,legal concern|freedom of expression|risk of torture|risk of ill-treatment|male|saudi arabia|uas 2012,saudi arabia,,2012-05-17,2012-04-05,first update,2011-10-13|2012-04-05|2012-04-09|2011-05-01|2011-08-22|2012-02-28|2012-05-17|2009-03-14|2009-03-19|2011-03-05
1412,103/12,ua 103/12 on israel/opt,death penalty|imminent execution|male|israel/opt|uas 2012,israel,,2012-05-17,2012-04-05,initial,2012-04-05|2010-05-30|2012-02-16|2012-02-14|2012-02-02|2010-10-24|2011-11-02|2012-03-01|2012-05-17||2011-05-04
1414,296/09,seventh update to ua 296/09 on singapore,death penalty|imminent execution|male|singapore|uas 2012,singapore,,2012-05-17,2012-04-05,seventh update,2009-11-03|2009-12-09|2010-05-14|2011-01-24|2012-01-16|2012-04-05||2012-05-17
1416,364/11,final update to ua 364/11 on india,arbitrary arrest|legal concern|male|india|uas 2012,india,,,2012-04-05,final update,2012-12-16|2012-04-05|2011-11-25|2012-03-30
1418,101/12,ua 101/12 on syria,incommunicado detention|health concern|risk of torture|risk of ill-treatment|male|syria|uas 2012,syria,,2012-05-17,2012-04-05,initial,2012-04-05|2012-03-19|2012-03-19|2012-05-17|2011-04-01|2012-03-27|2011-07-18
1420,102/12,ua 102/12 on sudan,arbitrary arrest|risk of ill-treatment/torture|male|sudan|uas 2012,sudan,,2012-05-17,2012-04-05,initial,2012-04-05|2012-05-17
1422,350/11,first update to ua 350/11 on india,health concern|intimidation|male|india|uas 2012,india,,,2012-04-05,first update,2011-12-06|2012-04-05
1424,100/12,ua 100/12 on cuba,freedom of expression|arbitrary arrest|intimidation|male|cuba|uas 2012,cuba,,2012-05-16,2012-04-04,initial,2012-04-04|2012-05-16
1426,99/12,ua 99/12 on cuba,freedom of expression|arbitrary arrest|intimidation|cuba|uas 2012,cuba,,2012-05-16,2012-04-04,initial,2012-04-04|2012-05-16|2012-02-21
1428,71/12,final update to 71/12 on israel/opt,hunger-strike|health concern|legal concern|arbitrary detention|female|israel|uas 2012,israel,,,2012-04-03,unknown,2012-03-02|2012-03-13|2012-03-26|2012-04-03
1430,227/11,seventh update to 227/11 on bahrain,legal concern|torture|ill-treatment|prisoner of conscience|freedom of expression|male|bahrain|uas 2012,bahrain,,2012-05-15,2012-04-03,unknown,2011-08-30|2011-09-26|2011-10-19|2011-12-21|2012-04-03|2012-04-02|2012-05-15|2011-03-29|2011-04-06|2011-06-07
1432,84/11,second update to 84/11 on russian federation,risk of torture|risk of ill-treatment|forcible return|male|russia|uas 2012,russian federation,,2012-05-15,2012-04-03,unknown,2011-03-22|2011-04-28|2012-04-03|2011-11-24|2012-05-15||2011-11-24|2012-02-27|2012-03-29
1434,273/11,final update to 273/11 on syria,health concern|harsh prison conditions|ill-treatment|torture|teachers and educators|male|syria|uas 2012,syria,,,2012-04-03,unknown,2011-09-13|2012-04-03|2011-05-12|2011-05-12|2011-08-29
1436,98/12,ua 98/12 on suriname,legal concern|suriname|uas 2012,suriname,,2012-05-17,2012-04-02,initial,2012-04-02||2012-05-17||2012-03-19
1438,96/12,ua 96/12 on usa,youth|juvenile offender|female|usa|uas 2012,usa,,2012-04-11,2012-03-30,initial,2012-03-30|2012-01-26|2012-04-11|1992-05-12
1440,97/12,ua 97/12 on togo,risk of torture|ill-treatment|male|togo|uas 2012,togo,,2012-05-11,2012-03-30,initial,2012-03-30|2012-05-11
1442,65/12,final update to ua 65/12 on usa,death penalty|usa|male|uas 2012,usa,,,,final update,2012-02-27|2012-03-30|2012-03-21
1444,95/12,ua 95/12 on guatemala,unlawful killing|fear for safety|guatemala|uas 2012,guatemala,,2012-05-11,2012-03-30,initial,2012-03-30|2012-05-11|2011-09-13|2011-05-26
1446,139/11,fifth update to 139/11 on bahrain,prisoner of conscience|legal concern|health concern|male|activist|bahrain|uas 2012,bahrain,,2012-05-11,2012-03-30,unknown,2011-09-06|2012-03-30|2011-06-22|2011-09-28|2012-05-11
1448,94/12,ua 94/12 on colombia,abduction|extrajudicial killing|fear for safety|male/female|bahrain|uas 2012,colombia,,2012-05-10,2012-03-29,initial,2012-03-29|2012-03-07|2012-05-10|
1450,81/12,ua 81/12 on honduras,health concern|legal concern|female|honduras|uas 2012,honduras,,2012-05-09,2012-03-28,initial,2012-03-28|2012-05-09
1452,93/12,ua 93/12 on usa,death penalty|health concern|imminent execution|male|usa|uas 2012,usa,,2012-04-18,2012-03-28,initial,2012-03-28|1985-08-07|1986-01-09|2012-03-02|2012-04-18
1454,82/12,ua 82/12 on syria,risk of torture|risk of ill-treatment|enforced disappearance|journalists and writers|male|syria|uas 2012,syria,,2012-05-08,2012-03-27,initial,2012-03-27|2012-03-05|2012-03-10|2012-05-08|2011-08-31
1456,251/11,final update to ua 251/11 on indonesia,health concern|male|political prisoners|indonesia|uas 2012,indonesia,,,2012-03-27,final update,2011-08-19|2012-03-27
1458,71/12,second update to ua 71/12 on israel,arbitrary detention|health concern|legal concern|female|israel|uas 2012,israel opt,,2012-05-07,2012-03-26,second update,2012-03-02|2012-03-13|2012-03-26|2012-03-20|2012-03-07|2012-03-26|2012-05-07|2012-02-23|2012-06-16|2009-09-29|2011-10-18|2012-02-29
1460,25/12,second update to ua 25/12 on mexico,fear for safety|risk of ill-treatment|activist|mexico|ua s 2012,mexico,,2012-05-04,2012-03-23,second update,2012-01-25|2012-03-23|2012-05-04
1462,64/12,first update to ua 64/12 on turkey,conscientious objection|prisoner of conscience|male|human rights defender|turkey|uas 2012,turkey,,2012-05-04,2012-03-23,first update,2012-03-23|2012-02-24|2012-05-04
1464,102/10,fifth update to ua 102/10 on iran,imminent execution|torture|ill-treatment|iran|uas 2012,iran,,2012-05-04,2012-03-23,fifth update,2010-04-30|2010-08-05|2011-01-05|2011-01-26|2012-03-23|2009-12-27|2012-05-04|2011-05-10|2011-01-24|2010-12-28
1466,102/10,fifth update to ua 102/10 on iran,imminent execution|torture|ill-treatment|death penalty|(m/f)|iran|uas 2012,iran,,2012-05-04,2012-03-23,fifth update,2010-04-30|2010-08-05|2011-01-05|2011-01-26|2012-03-23|2009-12-27|2012-05-04|2011-05-10|2011-01-24|2010-12-28
1468,91/12,ua 91/12 on cuba,prisoner of conscience|freedom of expression|male|cuba|uas 2012|female,cuba,,2012-05-03,2012-03-22,initial,2012-03-22|2012-05-03|2011-12-25
1470,367/11,second update to ua 367/11 on india,arbitrary arrest|freedom of expression|legal concern|male|india|uas 2012,india,,2012-05-03,2012-03-22,second update,2011-12-21|2012-03-22|2012-05-03
1472,92/12,ua 92/12 on cuba,prisoner of conscience|health concern|freedom of expression|male|cuba|uas 2012,cuba,,2012-05-03,2012-03-22,initial,2012-03-22|2012-05-03
1474,292/11,first update to 292/11 on syria,enforced disappearance|incommunicado detention|risk of ill-treatment|risk of torture|male|syria|uas 2012,syria,,2012-05-03,2012-03-22,unknown,2011-09-26|2012-03-22|2011-09-23|2012-02-25|2011-07-15|2012-05-03
1476,55/11,third update to ua 55/11 on zimbabwe,arbitrary arrest|legal concern|torture|male|zimbabwe|uas 2012|female,zimbabwe,,2012-05-03,2012-03-22,third update,2011-03-03|2011-03-08|2011-06-05|2012-03-22|2011-03-07|2012-05-03
1478,75/12,first update to 75/12 equatorial guinea,prisoner of conscience|legal concern|male|human rights defenders|equatorial guinea|uas 2012,equatorial guinea,,2012-05-03,2012-03-22,first update 75/12 eq,2012-03-02|2012-03-22|2012-05-03
1480,75/12,first update to 75/12 equatorial guinea,prisoner of conscience|legal concern|human rights defender|male|equatorial guinea|uas2012,equatorial guinea,,2012-05-03,2012-03-22,first update 75/12 eq,2012-03-02|2012-03-22|2012-05-03
1482,86/12,ua 86/12 on syria,incommunicado detention|risk of ill-treatment|risk of torture|male|syria|uas 2012,syria,,2012-05-03,,initial,2012-03-22|2012-02-03|2012-05-03|2012-02-06|2011-05-01|2011-08-22|2011-12-15
1484,87/12,ua 87/12 on iran,imminent execution|death penalty|torture|incommunicado|political prisoners|male|uas 2012,iran,,2012-05-02,2012-03-21,initial,2012-03-21|2009-09-27|2010-03-15|2011-06-09|2012-05-02|2008-07-30|2011-08-26
1486,90/12,ua 90/12 on colombia,death threats|fear for safety|human rights defenders|male|colombia|uas 2012,colombia,,2012-05-02,,initial,2012-03-21|2012-05-02
1488,89/12,ua 89/12 on mexico,indigenous|fear for safety|unlawful killing|(m/f)|human rights defenders|mexico|uas 2012,mexico,,2012-05-01,2012-03-20,initial,2012-03-20|2012-05-01|
1490,88/12,ua 88/12 on azerbaijan,incommunicado detention|legal concern|risk of torture|fear for safety|freedom of expression|ill-treatment|activist|male|azerbaijan|uas 2012,azerbaijan,,2012-05-01,2012-03-20,initial,2012-03-20|2012-05-01
1492,347/09,final update to ua 347/09 on iran,prisoner of conscience|freedom of expression|legal concern|human rights defenders|iran|uas 2012,iran,,,2012-03-19,final update,2010-02-19|2010-03-18|2010-05-21|2010-09-14|2010-09-22|2011-02-28|2011-09-30|2012-03-19|2012-03-07|2012-01-02|2012-03-18|2011-09-06|2011-07-31|2011-11-30|2011-01-09|2011-01-31|2011-08-10|2010-03-02|2010-12-20
1494,348/11,second update to ua 348/11 on belarus,death penalty|legal concern|male|belarus|uas 2012,belarus,,2012-04-30,2012-03-19,second update,2011-12-02|2012-03-19|2011-11-30|2008-12-18|2012-04-30|2011-04-11
1496,18/12,first update to ua 18/12 on colombia,fear for safety|harassment|legal concern|male|colombia|uas 2012,colombia,,2012-04-30,2012-03-19,first update,2012-01-20|2012-03-19|2011-03-23|2012-04-30|2011-03-23|2012-01-16
1498,85/12,ua 85/12 on serbia,forced eviction|legal concern|serbia|uas 2012,serbia,,,2012-03-19,initial,2012-03-19|2012-03-15|2012-04-30|2011-04-08
1500,80/12,ua 80/12 on syria,enforced disappearance|risk of torture|risk of ill-treatment|activist|male|syria|uas 2012,syria,,2012-04-27,2012-03-16,initial,2012-03-16|2012-04-27|2011-04-01
1502,84/12,ua 84/12 on sudan,risk of torture|risk of ill-treatment|incommunicado detention|activist|teachers and educators|female|sudan|uas 2012,sudan,,2012-04-27,2012-03-16,initial,2012-03-16|2012-04-27|2011-06-05
1504,83/12,ua 83/12 on colombia,fear for safety|death threats|male|human rights defenders|colombia|uas 2012,colombia,,2012-04-27,2012-03-16,initial,2012-03-16|2012-04-27
1506,348/11,first update to ua 348/11 on belarus,death penalty|legal concern|male|belarus|uas 2012,belarus,,2012-04-27,2012-03-16,first update,2011-12-02|2012-03-16|2011-04-11|2008-12-18|2012-04-27|2011-04-11
1508,58/12,first update to ua 58/12 on russian federation,legal concern|enforced disappearance|fear for safety|male|russian federation|uas 2012,russia federation,,2012-04-26,2012-03-15,first update,2012-02-20|2012-03-15|2012-04-26|2012-02-17
1510,69/12,final update to ua 69/12 on bahrain,arbitrary detention|risk of torture|risk of ill-treatment|male|bahrain|uas 2012,bahrain,,,2012-03-15,final update,2012-02-28|2012-03-15|2012-03-14|2012-03-14
1512,299/11,second update to ua 299/11 on belarus (issued on 11/17/2011),legal concern|prisoner of conscience|belarus|male|uas 2011,belarus,,2011-12-29,2011-11-17,second update,2011-09-30|2011-11-17|2011-12-29
1514,299/11,first update to ua 299/11 on belarus (issued on 11/16/2011),incommunicado detention|risk of torture|risk of ill-treatment|male|belarus|uas 2011,belarus,,2011-12-28,2011-11-16,first update,2011-09-30|2011-11-16|2011-12-28
1516,299/11,ua 299/11 on belarus (issued on 9/30/2011),prisoner of conscience|ill-treatment|fear for safety|male|belarus|uas 2011,belarus,,2011-11-11,2011-09-30,initial,2011-09-30|2011-05-14|2010-12-19|2011-11-11
1518,299/11,third update to ua 299/11 on belarus (issued on 1/30/2012),prisoner of conscience|torture|health concern|male|belarus|uas 2011,belarus,,2012-03-12,2012-01-30,third update,2011-09-30|2011-11-17|2012-01-30|2011-05-14|2012-03-12
1520,71/12,first update to ua 71/12 on israel/opt,health concern|arbitrary arrest|ill-treatment|hunger-strike|female|israel/opt|uas 2012,israel,,2012-04-20,2012-03-13,first update,2012-03-02|2012-03-13|2012-02-29|2012-06-16|2012-02-16|2012-03-07|2012-03-12|2012-04-20|2012-02-23|2009-09-29|2011-10-18|2012-01-31
1522,25/12,first update to ua 25/12 on mexico,arbitrary arrest|legal concern|torture|male|indigenous|activist|mexico|uas 2012,mexico,,2012-04-23,2012-03-12,first update,2012-01-25|2012-03-12|2012-04-23
1524,296/11,fourth update to ua 296/11 on bahrain,legal concern|torture|ill-treatment|incommunicado detention|health professionals|bahrain|uas 2012,bahrain,,2012-04-20,2012-03-09,fourth update,2011-09-30|2011-10-25|2012-03-09|2012-03-08|2012-04-20
1526,329/11,first update to ua 329/11 on mexico,fear for safety|intimidation|human rights defenders|mexico|uas 2012,mexico,,2012-04-20,2012-03-09,first update,2011-11-08|2012-03-09|2012-04-20
1528,79/12,ua 79/12 on azerbaijan,legal concern|risk of torture|risk of ill-treatment|bahrain|uas 2012,azerbaijan,,2012-04-19,2012-03-08,initial,2012-03-08|2011-04-02|2012-03-06|2012-04-19
1530,78/12,ua 78/12 on honduras,death threats|freedom of expression|female|honduras|uas 2012,honduras,,2012-04-19,2012-03-08,initial,2012-03-08|2012-04-19|2009-06-28|2011-01-10|2011-05-06|2011-01-10|2011-05-06
1532,77/12,ua 77/12 on iran,risk of torture|imminent execution|risk of ill-treatment|legal concern|male|iran|uas2012,islamic republic of iran,,2012-04-19,2012-03-08,initial,2012-03-08|2012-03-05|2011-04-15|2012-04-19|2006-01-24|2011-03-23|2011-05-07|2011-05-20|2012-01-10|2012-03-02
1534,76/12,ua 76/12 on syria,abduction|prisoner of conscience|legal concern|incommunicado detention|health concern|freedom of expression|male|syria|uas 2012,syria,,2012-04-19,2012-03-08,initial,2012-03-08|2012-02-11|2012-04-19|2012-02-03
1536,53/12,first update to ua 53/12 on bahrain,freedom of expression|incommunicado detention|risk of torture|risk of ill-treatment|(m/f)|bahrain|uas2012,bahrain,,2012-04-18,2012-03-07,first update,2012-02-17|2012-03-07|2012-02-14|2012-02-14|2012-02-14|2012-04-18|2012-02-14|2011-02-14|2011-11-23
1538,61/12,final update to ua 61/12 on sudan,freedom of expression|incommunicado detention|risk of torture|risk of ill-treatment|male|teachers and educators|sudan|uas 2012,sudan,,,2012-03-07,final update,2012-02-23|2012-03-07
1540,367/11,first update to ua 367/11 on india,legal concern|freedom of expression|male|india|uas 2012,india,,2012-04-17,2012-03-07,first update,2011-12-21|2012-03-07|2012-04-17
1542,16/12,final update to ua 16/12 on syria,abduction|torture|ill-treatment|male|activist|syria|uas 2012,syria,,,2012-03-07,final update,2012-01-19|2012-03-07
1544,127/11,third update to ua 127/11 on israel/opt,legal concern|arbitrary detention|prisoner of conscience|freedom of expression|male|israel/opt|uas 2012,israel,,2012-04-17,2012-03-06,third update,2011-05-06|2011-09-09|2012-03-06|2011-04-21|2012-04-17|1998-04-15|2011-04-21|2011-05-19|2011-09-02|2012-01-31
1546,371/11,final update to ua 371/11 on saudi arabia,freedom of expression|risk of torture|risk of ill-treatment|male|saudi arabia|uas 2012#,saudi arabia,,,2012-03-05,final update,2011-12-22|2012-03-05|2011-12-25|2012-01-18|2012-01-23
1548,73/12,ua 73/12 on usa,death penalty|male|usa|uas 2012,canada,,2012-04-11,2012-03-05,initial,2012-03-05|1982-08-04|2012-04-11
1549,71/12,ua 71/12 on israel/opt,arbitrary arrest|health concern|risk of ill-treatment|female|israel/opt|uas 2012,israel,,2012-04-14,2012-03-02,initial,2012-03-02|2012-02-16|2012-04-14|2009-09-14|2011-10-18|2012-02-16|2012-01-30
1551,46/12,first update to ua 46/12 on russian federation,lgbt issues|freedom of expression|russian federation|uas 2012,russian federation,,2012-04-16,2012-03-02,first update,2012-02-09|2012-03-02|2012-04-16
1553,75/12,ua 75/12 on equatorial guinea,human rights defenders|prisoner of conscience|male|equatorial guinea|uas 2012,equatorial guinea,,2012-04-16,2012-03-02,initial,2012-03-02|2012-04-16
1555,74/12,ua 74/12 on iran,freedom of expression|risk of torture|risk of ill-treatment|arbitrary detention|male|iran|uas 2012,islamic republic of iran,,2012-04-16,2012-03-02,initial,2012-03-02|2011-06-01|2011-06-01|2011-07-02|2011-05-28|2012-04-16
1557,72/12,ua 72/12 on colombia,death threats|fear for safety|harassment|intimidation|human rights defenders|male|colombia|uas 2012,colombia,,2012-04-12,2012-03-01,initial,2012-03-01|2012-04-12|2011-06-19
1559,70/12,ua 70/12 on mexico,fear for safety|legal concern|extrajudicial killing|indigenous|mexico|uas 2012,mexico,,2012-04-11,2012-02-29,initial,2012-02-29|2012-04-11
1561,67/12,ua 67/12 on syria,incommunicado detention|prisoner of conscience|risk of torture|risk of ill-treatment|human rights defenders|syria|uas 2012,syria,,2012-04-11,2012-02-29,initial,2012-02-29|2012-02-16|2012-04-11|2011-04-01
1563,69/12,ua 69/12 on bahrain,arbitrary detention|risk of torture|male|bahrain|uas 2012|risk of ill-treatment,bahrain,,2012-04-10,2012-02-28,initial,2012-02-28|2012-02-12|2012-04-10|2011-02-14|2011-02-14|2011-11-23|2012-02-14
1565,68/12,ua 68/12 on north korea,arbitrary detention|risk of torture|forced labor|north korea|uas 2012,peoples democratic republic of north korea,,2012-04-10,2012-02-28,initial,2012-02-28|2012-04-10
1567,60/12,final update to ua 60/12 on cuba,male|cuba|ua 60/12|prisoner of conscience,cuba,,,2012-02-28,final update,2012-02-23|2012-02-28
1569,66/12,ua 66/12 on honduras,death threats|fear for safety|male|human rights activist|honduras|uas 2012,honduras,,2012-04-09,2012-02-27,initial,2012-02-27|2012-04-09
1571,65/12,ua 65/12 usa (alabama),death penalty|male|usa (alabama)|uas 2012,usa,,2012-03-29,2012-02-27,initial,2012-02-27|1982-02-01|2012-03-29|1991-12-05|1992-01-24
1573,62/12,final update to ua 62/12 on mexico,incommunicado detention|legal concern|human rights defenders|female|mexico|uas 2012,mexico,,,,final update,2012-02-23|2012-02-27
1575,323/11,second update to ua 323/11 on serbia,forced eviction|serbia|uas 2011,serbia,,2012-04-06,2012-02-24,second update,2011-11-02|2012-02-24|2012-04-06
1577,63/12,ua 63/12 on brazil,forced eviction|uas 2012|brazil,brazil,,2012-04-06,2012-02-24,initial,2012-02-24|2010-10-14|2012-04-06
1579,64/12,ua 64/12 on turkey,prisoner of conscience|human rights defenders|male|turkey|uas 2012,turkey,,2012-04-06,2012-02-24,initial,2012-02-24|2012-04-06
1581,21/12,final update to ua 21/12 on sudan,incommunicado detention|risk of torture|fear for safety|male|sudan|ua 21/12,sudan,,,2012-02-24,final update,|2012-02-24|2011-12-30|2012-02-23
1583,307/11,first update to ua 307/11 on iran,imminent execution|legal concern|torture|ill-treatment|male|iran|uas 2012,iran,,2012-04-05,2012-02-23,first update,2011-10-19|2012-02-23|2010-12-22|2009-07-04|2009-10-17|2012-04-05|2008-07-30|2011-08-26
1585,31/12,third update to ua 31/12 on israel/opt,health concern|legal concern|ill-treatment|activist|male|israel|uas 2012,israel,,2012-04-05,2012-02-23,third update,2012-02-01|2012-02-15|2012-02-23|2012-02-21|2011-12-17|2012-04-05|2011-12-17|2012-01-31
1587,7/12,first update to ua 7/12 on cambodia,forced eviction|arbitrary arrest|intimidation|cambodia|uas 2012,cambodia,,2012-04-05,2012-02-23,first update,2012-01-11|2012-02-23|2012-04-05
1589,62/12,ua 62/12 on mexico,arbitrary arrest|legal concern|female|human rights defenders|mexico|uas 2012,mexico,,2012-04-05,2012-02-23,initial,2012-02-23|2012-04-05|2011-10-21|2011-10-28
1591,61/12,ua 61/12 on sudan,freedom of expression|incommunicado detention|risk of torture|risk of ill-treatment|male|teachers and educators|sudan|uas 2012,sudan,,2012-04-05,2012-02-23,initial,2012-02-23|2012-04-05
1593,60/12,ua 60/12 on cuba,prisoner of conscience|freedom of expression|legal concern|harassment|cuba|male|uas 2012,cuba,,2012-04-05,2012-02-23,initial,2012-04-05
1595,57/12,ua 57/12 on zimbabwe,legal concern|fear for safety|ngo|zimbabwe|uas 2012,zimbabwe,,2012-04-04,2012-02-22,initial,2012-02-22|2011-12-31|2012-04-04
1597,44/12,final update to ua 44/12 on burundi,freedom of expression|prisoner of conscience|male|activist|burundi|uas 2012,burundi,,,2012-02-22,final update,2012-02-09|2012-02-22
1599,29/12,first update to ua 29/12 on ukraine,arbitrary detention|torture|ill-treatment|legal concern|asylum seeker|ukraine|uas 2012,ukraine,,2012-04-04,2012-02-22,first update,2012-01-31|2012-02-22|2012-04-04
1601,21/12,first update to ua 21/12 on sudan,incommunicado detention|health concern|legal concern|male|activist|sudan|uas 2012,sudan,,2012-04-04,2012-02-22,first update,2012-02-22|2012-04-04
1603,59/12,ua 59/12 on saudi arabia,prisoner of conscience|torture|ill-treatment|male|saudi arabia|uas 2012,saudi arabia,,2012-04-03,2011-12-01,initial,2012-02-21|2011-03-11|2011-03-11|2012-02-22|2012-04-03|2008-12-27|2008-12-30|2011-03-07|2011-03-05|2011-12-01|2009-09-11
1605,343/11,final update to ua 343/11 on syria,enforced disappearance|incommunicado detention|male|syria|uas2012,syria,,,2012-02-21,final update,2011-11-22|2012-02-21|2012-01-27|2012-01-27|2011-09-28|2011-10-02
1607,365/11,final update to ua 365/11 on bahrain,freedom of expression|legal concern|female|bahrain|uas 2012,bahrain,,,2012-02-21,final update,2011-12-19|2012-02-13|2012-02-21|2012-02-12
1609,58/12,ua 58/12 on russian federation (issued 2/20/2012),enforced disappearance|male|russian federation|uas 2012,russian federation,,2012-04-02,2012-02-20,initial,2012-02-20|2012-04-02
1611,47/12,first update to ua 47/12 on bangladesh (issued 2/20/2012),enforced disappearance|risk of torture|bangladesh|uas 2012|risk of ill-treatment,bangladesh,,2012-04-02,2012-02-20,first update,2012-02-13|2012-02-20|2012-04-02
1613,56/12,ua 56/12 on egypt,freedom of expression|medical concern|risk of torture|(m)|egypt|uas 2012,egypt,,2012-03-30,2012-02-17,initial,2012-02-17|2012-02-06|2012-02-06|2012-03-30|2012-02-06
1615,40/12,ua 40/12 on uganda,lgbt issues|legal concern|freedom of expression|uganda|uas 2012,uganda,,2012-04-02,,initial,2012-02-17|2012-02-07|2012-04-02|2011-05-13
1617,55/12,ua 55/12 on iran,death penalty|incommunicado detention|risk of torture|(m)|iran|uas2012,islamic republic of iran,,2012-03-30,2012-02-17,initial,2012-02-17|2012-01-17|2011-10-19|2012-01-17|2012-02-14|2012-03-30|2008-10-04|2009-08-16|2009-12-21
1619,53/12,ua 53/12 on bahrain,freedom of expression|incommunicado detention|risk of torture|(m/f)|bahrain|uas 2012,bahrain,,2012-03-30,2012-02-17,initial,2012-02-17|2012-02-14|2012-02-14|2012-03-30|2012-02-14|2011-02-14|2011-11-23
1621,54/12,ua 54/12 on mexico,human rights defenders|(m/f)|mexico|uas2012,mexico,,2012-03-30,2012-02-17,initial,2012-02-17|2012-03-30
1623,346/11,final update to ua 346/11 on bahrain,freedom of expression|prisoner of conscience|bahrain|uas 2012,bahrain,,,2012-02-16,final update,2011-12-07|2012-02-16|2012-02-14|2011-09-23|2011-11-24
1625,36/12,final update to ua 36/12 on usa (florida),death penalty|male|uas 2012,usa,,,2012-02-16,final update,2012-02-03|2012-02-16|2012-02-08
1627,24/12,final update to ua 24/12 on bahrain,freedom of expression|legal concern|torture|ill-treatment|male|bahrain|uas 2012,bahrain,,,2012-02-16,final update,2012-02-01|2012-02-16|2011-10-25|2012-01-24|2011-03-20
1629,52/12,ua 52/12 on china,forcible return|risk of torture|legal concern|china|uas 2012,china,,2012-03-28,2012-02-15,initial,2012-02-15|2012-03-28
1631,51/12,ua 51/12 on sri lanka,abduction|risk of torture|risk of ill-treatment|fear for safety|business people|male|sri lanka|uas 2012,sri lanka,,2012-03-28,2012-02-15,initial,2012-02-15|2012-03-28
1633,50/12,ua 50/12 on saudi arabia,death penalty|male|saudi arabia|uas 2012,saudi arabia,,2012-03-28,2012-02-15,initial,2012-02-15|2007-02-24|2008-06-18|2012-03-28||2008-10-14
1635,49/12,ua 49/12 on malawi,freedom of expression|legal concern|harassment|intimidation|legal professionals|male|malawi|uas 2012,malawi,,2012-03-28,2012-02-15,initial,2012-02-15|2012-03-28
1637,31/12,second update to ua 31/12 on israel/opt,health concern|torture|ill-treatment|male|activist|israel/opt|uas 2012,israel,,2012-03-28,2012-02-15,second update,2012-02-01|2012-02-15|2012-02-13|2012-03-28|2011-12-17|2012-01-31
1639,32/12,first update to ua 32/12 on albania,forced eviction|legal concern|albania|uas 2012,albania,,2012-03-28,2012-02-15,first update,2012-02-01|2012-02-15|2012-03-28
1641,294/11,second update to ua 294/11 on brazil,forced eviction|fear for safety|brazil|uas 2012,brazil,,2012-03-27,2012-02-15,second update,2011-09-28|2012-02-15|2012-03-27
1643,43/12,final update to ua 43/12 on nigeria,forced eviction|nigeria|uas 2012,nigeria,,,2012-02-14,final update,2012-02-09|2012-02-14
1645,47/12,ua 47/12 on bangladesh,risk of torture|extrajudicial execution|enforced disappearance|male|activist|bangladesh|uas 2012,bangladesh,,2012-03-26,,initial,2012-02-13|2012-03-26
1647,48/12,ua 48/12 on saudi arabia,incommunicado detention|prisoner of conscience|male|saudi arabia|uas 2012,saudi arabia,,2012-03-26,,initial,2012-02-13|2012-02-09|2012-03-26
