category,category_count,event_type,classification
ua 193/06,2,0,0
ua 193/04,2,0,0
ua 265/08,2,0,0
ua 265/03,2,0,0
ua 280/05,2,0,0
ua 320/04,2,0,0
ua 121/06,2,0,0
ua 280/08,2,0,0
ua 232/03,2,0,0
ua 232/07,2,0,0
ua 232/09,2,0,0
ua 71/10,2,0,0
(ua 34/11) south korea,2,3,0
ua 125/06,2,0,0
ua 125/03,2,0,0
ua 27/04,2,0,0
ua 113/10,2,0,0
ua 238/04,2,0,0
ua 238/07,2,0,0
ua 155/06,2,0,0
ua 142/11,2,0,0
ua 145/06,2,0,0
ua 145/07,2,0,0
ua 73/11,2,0,0
ua 179/03,2,0,0
(ua 89/11),2,0,0
ua 169/05,2,0,0
ua 85/07,2,0,0
ua 85/05,2,0,0
ua 249/08,2,0,0
ua 121/07,2,0,0
ua 28/09,2,0,0
ex 27/03,2,0,0
ua 28/06,2,0,0
ua 202/04,2,0,0
ua 198/06,2,0,0
ua 232/04,2,0,0
(ua 61/11),2,0,0
ua 198/08,2,0,0
virginia,2,3,0
ua 191/06,2,0,0
ua 317/09,2,0,0
ua 317/05,2,0,0
(ua 112/11),2,0,0
nsa 1/05,2,0,0
ua 195/08,2,0,0
ua 195/07,2,0,0
ua 195/03,2,0,0
ua 197/08,2,0,0
ua 322/05,2,0,0
ua 322/04,2,0,0
ua 311/05,2,0,0
uas 2013#,2,0,0
nsa 11/04,2,0,0
ua 324/07,2,0,0
ua 313/06,2,0,0
ua 326/09,2,0,0
ua 324/01,2,0,0
ua 326/07,2,0,0
ua 326/06,2,0,0
nsa 5/05,2,0,0
ua 25/07,2,0,0
ua 260/06,2,0,0
ua 100/06,2,0,0
ua 104/07,2,0,0
ua 104/06,2,0,0
ua 104/05,2,0,0
ua 71/04,2,0,0
ua 142/07,2,0,0
ua 106/05,2,0,0
ua 106/04,2,0,0
ua 106/06,2,0,0
ua 106/08,2,0,0
ua 328/07,2,0,0
ua 328/09,2,0,0
ua 79/09,2,0,0
ua 79/08,2,0,0
ua 310/03,2,0,0
ua 291/06,2,0,0
ua 238/10,2,0,0
ua 77/07,2,0,0
ua 77/06,2,0,0
ua 77/04,2,0,0
ua 142/03,2,0,0
ua 293/03,2,0,0
ua 73/07,2,0,0
ua 73/05,2,0,0
uaa 003/10,2,0,0
(ua 97/11),2,0,0
ua 90/08,2,0,0
ua 90/04,2,0,0
ghana,2,3,0
ua 122/06,2,0,0
ua 101/07,2,0,0
ua 269/03,2,0,0
ua 269/07,2,0,0
ua 269/06,2,0,0
ua 175/03,2,0,0
ua 348/08,2,0,0
ua 295/09,2,0,0
ua 240/08,2,0,0
ua 295/04,2,0,0
ua 191/11,2,0,0
ua 93/04,2,0,0
ua 240/03,2,0,0
ua 267/06,2,0,0
ua 318/06,2,0,0
ua 318/08,2,0,0
ua 318/09,2,0,0
ua 195/10,2,0,0
ua 192/04,2,0,0
ua 192/05,2,0,0
ua 102/04,2,0,0
ua 256/04,2,0,0
ua 120/04,2,0,0
ua 120/07,2,0,0
ua 120/06,2,0,0
sexual violence,2,2,3
papua new guinea,2,3,0
ua 321/04,2,0,0
ua 321/07,2,0,0
ua 126/04,2,0,0
ua 124/09,2,0,0
ua 124/08,2,0,0
ua 343/08,2,0,0
ua 124/04,2,0,0
ua 124/07,2,0,0
ua 126/08,2,0,0
ua 20/07,2,0,0
ua 197/10,2,0,0
ua 297/03,2,0,0
ua 26/09,2,0,0
ua 341/04,2,0,0
ua 186/11,2,0,0
ua 264/08,2,0,0
ua 264/03,2,0,0
ua 94/05,2,0,0
ua 266/09,2,0,0
ua 47/10,2,0,0
ua 261/03,2,0,0
ua 172/10,2,0,0
ua 89/07,2,0,0
ua 89/04,2,0,0
ua 89/05,2,0,0
(ua 301/09),2,0,0
ua 176/07,2,0,0
ua 96/09,2,0,0
ua 96/06,2,0,0
ua 96/07,2,0,0
ua 176/09,2,0,0
ua 283/07,2,0,0
ua 283/06,2,0,0
ua 178/06,2,0,0
ua 178/03,2,0,0
ua 212/09,2,0,0
ua 221/06,2,0,0
ua 91/10,2,0,0
ua 147/05,2,0,0
ex 26/03,2,0,0
ua 215/10,2,0,0
ua 150/07,2,0,0
ua 268/11,2,0,0
ua 217/11,2,0,0
ua 217/10,2,0,0
ua 314/09,2,0,0
ua 314/05,2,0,0
ua 248/11,2,0,0
ua 248/10,2,0,0
ua 316/05,2,0,0
ua 291/04,2,0,0
ua 316/09,2,0,0
ua 291/03,2,0,0
ua 269/11,2,0,0
mass killings,2,2,1
ua 18/05,2,0,0
ua 18/07,2,0,0
ex 24/03,2,0,0
ua 261/05,2,0,0
ua 261/04,2,0,0
ua 219/11,2,0,0
ua 74/08,2,0,0
ua 24/08,2,0,0
ua 74/06,2,0,0
ua 245/09,2,0,0
ua 6/11,2,0,0
ua 101/10,2,0,0
ua 245/04,2,0,0
ua 245/06,2,0,0
ua 310/08,2,0,0
quotes,2,0,0
ua 310/05,2,0,0
ua 209/03,2,0,0
ua 243/07,2,0,0
ua 243/05,2,0,0
ua 246/11,2,0,0
ua 346/09,2,0,0
ua 312/08,2,0,0
ua 312/07,2,0,0
ua 312/05,2,0,0
ua 336/08,2,0,0
ua 310/06,2,0,0
ua 31/04,2,0,0
ua 76/07,2,0,0
ua 76/09,2,0,0
ua 105/03,2,0,0
ua 281/03,2,0,0
ua 70/06,2,0,0
ua 281/05,2,0,0
ua 107/08,2,0,0
ua 107/05,2,0,0
ua 164/07,2,0,0
ua 298/08,2,0,0
ua 298/03,2,0,0
ua 298/07,2,0,0
ua 298/06,2,0,0
ua 298/04,2,0,0
ua 126/10,2,0,0
ua 29/11,2,0,0
nsa 13/04,2,0,0
ua 11/05,2,0,0
ua 11/04,2,0,0
ua 213/08,2,0,0
ua 177/08,2,0,0
ua 177/07,2,0,0
ua 177/06,2,0,0
ua 213/06,2,0,0
ua 213/07,2,0,0
ua 17/10,2,0,0
ua 334/06,2,0,0
ua 91/07,2,0,0
ua 91/09,2,0,0
croatia,2,3,0
switzerland,2,3,0
ua 95/11,2,0,0
ua 11/08,2,0,0
ua 15/10,2,0,0
ua 15/11,2,0,0
ua 217/07,2,0,0
ua 268/07,2,0,0
ua 268/08,2,0,0
ua 349/03,2,0,0
ua 217/08,2,0,0
ua 35/07,2,0,0
gabon,2,3,0
ua 159/05,2,0,0
ua 141/06,2,0,0
ua 159/09,2,0,0
ua 159/08,2,0,0
ua 248/03,2,0,0
ua 68/06,2,0,0
ua 248/09,2,0,0
ua 123/06,2,0,0
ua 212/06,2,0,0
ua 123/08,2,0,0
ua 244/11,2,0,0
ua 18/10,2,0,0
ua 2/04,2,0,0
ua 290/08,2,0,0
ua 23/06,2,0,0
ua 4/07,2,0,0
ua 219/08,2,0,0
ua 219/06,2,0,0
(ua 31/11),2,0,0
ua 101/08,2,0,0
ua 101/09,2,0,0
ua 245/11,2,0,0
solitary confinement,2,2,4
ua 75/10,2,0,0
ua 246/04,2,0,0
ua 246/07,2,0,0
ua 203/03,2,0,0
ua 162/04,2,0,0
ua 162/03,2,0,0
ua 189/10,2,0,0
ua 160/03,2,0,0
ua 165/11,2,0,0
ua 8/05,2,0,0
ua 97/09,2,0,0
ua 179/07,2,0,0
ua 179/04,2,0,0
ua 97/04,2,0,0
belgium,2,3,0
ua 48/04,2,0,0
ua 70/11,2,0,0
ua 48/06,2,0,0
(ua 87/11),2,0,0
ua 72/10,2,0,0
ua 171/09,2,0,0
ua 99/03,2,0,0
australia,2,3,0
ua 360/03,2,0,0
ua 173/06,2,0,0
ua 315/06,2,0,0
ua 315/05,2,0,0
ua 17/07,2,0,0
ua 17/06,2,0,0
ua 17/09,2,0,0
ua 231/08,2,0,0
ua 177/11,2,0,0
ua 231/09,2,0,0
ua 210/06,2,0,0
ua 210/05,2,0,0
ua 210/04,2,0,0
ua 152/04,2,0,0
ua 95/05,2,0,0
ua 95/04,2,0,0
ua 95/03,2,0,0
ua 15/07,2,0,0
ua 108/03,2,0,0
ua 108/07,2,0,0
ua 15/09,2,0,0
ua 15/08,2,0,0
papua,2,0,0
risk of deportation,2,1,10
ua 183/09,2,0,0
ua 063/10,2,0,0
ua 185/02,2,0,0
ua 185/09,2,0,0
ua 158/11,2,0,0
ua 244/07,2,0,0
ua 244/09,2,0,0
ua 187/06,2,0,0
ua 187/07,2,0,0
ua 1/07,2,0,0
guyana,2,3,0
ua 19/09,2,0,0
ua 322/07,2,0,0
ua 311/06,2,0,0
ua 347/09,2,0,0
ua 241/05,2,0,0
ua 369/02,2,0,0
ua 241/04,2,0,0
ua 75/06,2,0,0
ua 32/04,2,0,0
ua 5/04,2,0,0
ua 100/07,2,0,0
ua 80/07,2,0,0
ua 100/09,2,0,0
ua 242/03,2,0,0
ua 242/04,2,0,0
ua 242/05,2,0,0
ua 189/08,2,0,0
ua 189/07,2,0,0
ua 313/05,2,0,0
ua 189/03,2,0,0
ua 298/09,2,0,0
extrajudicial execution,2,2,1
ua 12/09,2,0,0
ua 93/08,2,0,0
guinea-bissau,2,3,0
ua 240/06,2,0,0
ua 240/07,2,0,0
ua 93/06,2,0,0
ua 175/08,2,0,0
ua 170/11,2,0,0
ua 165/06,2,0,0
ua 165/07,2,0,0
ua 165/05,2,0,0
ua 227/07,2,0,0
ua 276/03,2,0,0
ua 153/04,2,0,0
ua 152/06,2,0,0
ua 161/11,2,0,0
ua 10/09,2,0,0
ua 212/05,2,0,0
ua 221/09,2,0,0
ua 221/08,2,0,0
ua 212/08,2,0,0
ua 150/05,2,0,0
ua 150/03,2,0,0
ua 150/08,2,0,0
ua 150/09,2,0,0
ua 214/07,2,0,0
ua 214/06,2,0,0
ua 313/04,2,0,0
ua 216/06,2,0,0
ua 324/03,2,0,0
ua 313/03,2,0,0
ua 144/08,2,0,0
ua 21/11,2,0,0
ua 249/06,2,0,0
ua 144/03,2,0,0
ua 69/05,2,0,0
ua 124/02,2,0,0
ua 16/04,2,0,0
ua 32/06,2,0,0
ua 274/05,2,0,0
ua 16/08,2,0,0
ua 108/11,2,0,0
ua 3/07,2,0,0
ua 3/06,2,0,0
(ua 30/11),2,0,0
ua 218/03,2,0,0
ua 218/08,2,0,0
ua 32/08,2,0,0
ua 7/07,2,0,0
ua 7/06,2,0,0
ua 7/04,2,0,0
ua 5/05,2,0,0
ua 5/07,2,0,0
ex 53/03,2,0,0
(m),2,0,0
ex 42/03,2,0,0
ua 158/08,2,0,0
ua 158/06,2,0,0
ua 158/04,2,0,0
ua 180/06,2,0,0
ua 247/03,2,0,0
ua 247/07,2,0,0
ua 247/06,2,0,0
ua 247/09,2,0,0
ex 40/03,2,0,0
ua 217/05,2,0,0
ua 140/04,2,0,0
women's rights,2,5,0
ua 13/10,2,0,0
ua 224/10,2,0,0
ua 270/04,2,0,0
ua 279/04,2,0,0
ua 226/10,2,0,0
ua 270/07,2,0,0
ua 278/06,2,0,0
ua 98/05,2,0,0
ua 98/06,2,0,0
ua 98/08,2,0,0
ua 213/05,2,0,0
ua 278/09,2,0,0
ua 270/03,2,0,0
ua 170/05,2,0,0
ua 154/08,2,0,0
ua 154/09,2,0,0
ua 227/10,2,0,0
ua 154/04,2,0,0
ua 46/10,2,0,0
ua 46/11,2,0,0
ua 221/10,2,0,0
ua 212/11,2,0,0
ua 92/07,2,0,0
ua 278/04,2,0,0
arkansas,2,3,0
ua 223/10,2,0,0
ua 223/11,2,0,0
ua 55/04,2,0,0
ua 216/10,2,0,0
ua 211/04,2,0,0
ua 211/05,2,0,0
ua 151/05,2,0,0
ua 211/08,2,0,0
ua 211/09,2,0,0
medical action ma 2/06,2,5,12
ua 273/04,2,0,0
ua 273/06,2,0,0
forced evictions,2,2,6
ua 271/07,2,0,0
ua 271/04,2,0,0
ua 182/08,2,0,0
ua 300/05,2,0,0
ua 300/07,2,0,0
ua 300/06,2,0,0
ua 14/09,2,0,0
ua 214/10,2,0,0
ua 184/04,2,0,0
ua 181/10,2,0,0
ua 306/08,2,0,0
ua 306/06,2,0,0
ua 306/05,2,0,0
ua 3/11,2,0,0
ua 109/07,2,0,0
ua 109/09,2,0,0
ua 304/05,2,0,0
ua 304/04,2,0,0
ua 304/08,2,0,0
ua 235/03,2,0,0
ua 36/04,2,0,0
ua 36/05,2,0,0
ua 36/06,2,0,0
ua 180/10,2,0,0
ua 82/04,2,0,0
ex 50/03,2,0,0
ua 167/04,2,0,0
ua 167/05,2,0,0
ua 167/06,2,0,0
ua 34/05,2,0,0
ua 139/06,2,0,0
ua 291/08,2,0,0
ua 188/07,2,0,0
ua 188/05,2,0,0
ua 44/06,2,0,0
ua 44/08,2,0,0
senegal,2,3,0
ua 266/11,2,0,0
ua 140/03,2,0,0
ua 354/03,2,0,0
ua 13/04,2,0,0
ua 224/09,2,0,0
ua 224/05,2,0,0
ua 224/06,2,0,0
ua 339/08,2,0,0
nsa 10/04,2,0,0
ua 339/06,2,0,0
ua 42/09,2,0,0
ua 55/09,2,0,0
ua 353/03,2,0,0
ua 46/07,2,0,0
ua 46/06,2,0,0
ua 157/08,2,0,0
ua 157/03,2,0,0
ua 157/07,2,0,0
ua 157/06,2,0,0
ua 46/05,2,0,0
armenia,2,0,0
ua 155/07,2,0,0
ua 155/08,2,0,0
ua 220/08,2,0,0
ua 220/03,2,0,0
ua 279/05,2,0,0
ua 151/10,2,0,0
ua 169/06,2,0,0
ua 276/08,2,0,0
ex 49/03,2,0,0
ua 222/08,2,0,0
ua 222/04,2,0,0
ua 276/05,2,0,0
ua 276/04,2,0,0
ex 47/03,2,0,0
ua 04/08,2,0,0
ua 182/11,2,0,0
ex 1/03,2,0,0
ua 273/03,2,0,0
ua 181/04,2,0,0
ua 181/05,2,0,0
ua 181/07,2,0,0
macedonia,2,3,0
ua 61/03,2,0,0
ua 330/07,2,0,0
ua 31/09,2,0,0
ua 336/07,2,0,0
ua 281/08,2,0,0
ua 205/04,2,0,0
ua 33/07,2,0,0
ua 33/06,2,0,0
ua 33/05,2,0,0
ua 33/04,2,0,0
ua 33/08,2,0,0
ua 334/03,2,0,0
ua 35/05,2,0,0
ua 168/09,2,0,0
ua 168/05,2,0,0
ua 168/04,2,0,0
ua 168/07,2,0,0
ex 41/03,2,0,0
ua 168/03,2,0,0
ua 48/09,2,0,0
ua 166/06,2,0,0
ua 279/03,2,0,0
ua 290/03,2,0,0
ua 196/06,2,0,0
ua 344/03,2,0,0
ua 290/06,2,0,0
ua 153/07,2,0,0
ua 38/09,2,0,0
mozambique,2,0,0
ua 38/07,2,0,0
ua 153/08,2,0,0
ua 37/06,2,0,0
ua 228/04,2,0,0
ua 228/05,2,0,0
ua 69/04,2,0,0
ua 274/07,2,0,0
ua 143/03,2,0,0
ua 285/05,2,0,0
ua 39/06,2,0,0
reproductive rights,2,5,12
ua 272/07,2,0,0
ua 270/06,2,0,0
ua 272/08,2,0,0
ua 259/10,2,0,0
ua 171/03,2,0,0
ua 303/06,2,0,0
ua 303/03,2,0,0
ua 301/07,2,0,0
ua 301/09,2,0,0
harrassment,2,2,8
ua 342/03,2,0,0
ex 48/03,2,0,0
ua 287/06,2,0,0
ua 287/05,2,0,0
ua 287/04,2,0,0
ua 54/09,2,0,0
ua 41/09,2,0,0
ua 130/04,2,0,0
ua 37/09,2,0,0
ua 37/08,2,0,0
ua 54/07,2,0,0
ua 285/07,2,0,0
ua 340/03,2,0,0
ua 255/11,2,0,0
ua 256/07,2,0,0
ua 256/06,2,0,0
ua 175/05,2,0,0
ua 307/03,2,0,0
ua 307/08,2,0,0
ua 307/09,2,0,0
ua 307/04,2,0,0
ua 250/05,1,0,0
ua 250/04,1,0,0
ua 138/06,1,0,0
ua 101/05,1,0,0
ua 101/06,1,0,0
ua 305/07,1,0,0
ua 333/06,1,0,0
ua 136/08,1,0,0
ua 136/03,1,0,0
ua 101/03,1,0,0
ua 136/07,1,0,0
ua 225/03,1,0,0
ua 95/06,1,0,0
ua 225/06,1,0,0
ua 250/03,1,0,0
ua 225/08,1,0,0
ua 62/10,1,0,0
ua 119/09,1,0,0
(ua 45/11),1,0,0
(ua 249/10),1,0,0
ua 168/10,1,0,0
ua 168/11,1,0,0
ua 132/07,1,0,0
ua 302/04,1,0,0
ua 43/04,1,0,0
ua 52/08,1,0,0
ua 52/09,1,0,0
ua 43/08,1,0,0
ua 52/04,1,0,0
ua 52/03,1,0,0
ua 132/08,1,0,0
ua 85/10,1,0,0
ua 39/10,1,0,0
ua 338/06,1,0,0
ua 338/04,1,0,0
ua 62/05,1,0,0
ua 166/10,1,0,0
kentucky,1,3,0
uaa 010/10,1,0,0
ua 47/09,1,0,0
ua 47/04,1,0,0
youth activist,1,4,0
ua 252/05,1,0,0
ua 111/08,1,0,0
ua 252/07,1,0,0
ua 252/06,1,0,0
ua 252/03,1,0,0
ua 64/10,1,0,0
ua 111/03,1,0,0
ua 252/09,1,0,0
ua 111/07,1,0,0
ua 153/10,1,0,0
ua 252/04,1,0,0
uaa 160/10,1,0,0
ua 49/05,1,0,0
ua 49/09,1,0,0
ua 38/10,1,0,0
ua 156/04,1,0,0
ua 327/06,1,0,0
ua 327/07,1,0,0
ua 156/08,1,0,0
ua 156/09,1,0,0
ua 211/07,1,0,0
ua 60/10,1,0,0
ua 60/12,1,0,0
ua 309/08,1,0,0
ua 309/09,1,0,0
uaa 161/10,1,0,0
ua 275/06,1,0,0
ua 309/04,1,0,0
ua 275/07,1,0,0
ua 174/03,1,0,0
ua 68/10,1,0,0
ua 68/11,1,0,0
ua 141/10,1,0,0
|subject:  ua 212/12 on israel/occupied palestinian territories,1,0,0
ex 46/03,1,0,0
ua 277/05,1,0,0
ua 277/07,1,0,0
ua 148/09,1,0,0
ua 148/07,1,0,0
ua 148/06,1,0,0
ua 148/05,1,0,0
ua 148/04,1,0,0
ua 277/08,1,0,0
ua 259/02,1,0,0
ma,1,5,12
ua 259/05,1,0,0
ua 259/08,1,0,0
ua 259/09,1,0,0
ua 176/03,1,0,0
ua 133/04,1,0,0
medical action ma 10/03,1,5,12
uaa 008/10,1,0,0
|subject:  ua 243/11 on guatemala,1,0,0
ex 93/02,1,0,0
medical action # ma 8/05,1,5,12
ua 257/11,1,0,0
|subject:  ua 160/12 on venzuela (issued 6/1/2012),1,0,0
ua 331/04,1,0,0
|subject:  first update to ua 114/11 on china,1,0,0
ua 331/08,1,0,0
|subject:  ua 59/13 on yemen,1,0,0
ua 30/07,1,0,0
ua 30/04,1,0,0
ua 30/05,1,0,0
ua 015/09,1,0,0
ua 337/06,1,0,0
ua 337/03,1,0,0
|subject:  ua 48/13 on indonesia (issued 22 february),1,0,0
ua 335/04,1,0,0
ua 54/11,1,0,0
ua 54/10,1,0,0
ua 41/10,1,0,0
ua 221/07,1,0,0
ua 277/11,1,0,0
ua 256/11,1,0,0
ua 280/06,1,0,0
ua 280/07,1,0,0
ua 138/08,1,0,0
ua 57/10,1,0,0
ua 57/11,1,0,0
ua 50/08,1,0,0
ua 55/10,1,0,0
ua 40/10,1,0,0
ua 255/08,1,0,0
ua 255/05,1,0,0
(ua 60/11),1,0,0
ua 255/03,1,0,0
ua 250/10,1,0,0
ua 229/07,1,0,0
ua 229/05,1,0,0
ua 229/04,1,0,0
ua 229/09,1,0,0
ua 229/08,1,0,0
ua 117/09,1,0,0
ua 53/11,1,0,0
ua 117/07,1,0,0
ua 117/04,1,0,0
|subject:  final update to ua 144/12 on haiti,1,0,0
ua 225/10,1,0,0
ua 62/07,1,0,0
ua 62/09,1,0,0
(ua 15/09),1,0,0
ua 113/04,1,0,0
ua 115/05,1,0,0
ua 115/04,1,0,0
ua 115/07,1,0,0
ua 269/04,1,0,0
ua 115/09,1,0,0
ua 199/10,1,0,0
ua 110/11,1,0,0
ua 113/08,1,0,0
ua 52/11,1,0,0
ua 52/10,1,0,0
male female,1,0,0
ua 39/04,1,0,0
ua 45/10,1,0,0
nsa 4/07,1,0,0
nigeria#,1,0,0
death threatshuman rights defender,1,1,7
(ua 23/11),1,0,0
ua 64/09,1,0,0
ua 64/08,1,0,0
|subject:  final update to ua 23/12 on israel/opt,1,0,0
ua 252/10,1,0,0
nsa 4/06,1,0,0
ua 111/10,1,0,0
ua 132/09,1,0,0
ua 64/07,1,0,0
ua 64/05,1,0,0
ua 64/04,1,0,0
ua 338/03,1,0,0
medical action # ma 1/05,1,5,12
medical action # ma 1/06,1,5,12
ua 355/03,1,0,0
|subject:  second update to ua 217/12 on belarus,1,0,0
ua 49/11,1,0,0
ua 49/10,1,0,0
ua 160/09,1,0,0
ua 60/06,1,0,0
ua 60/04,1,0,0
ua 60/09,1,0,0
ua 60/08,1,0,0
ua 302/09,1,0,0
ua 260/03,1,0,0
ua 14/05,1,0,0
ua 122/08,1,0,0
ua 87/08,1,0,0
ua 87/09,1,0,0
ua 141/04,1,0,0
ua 141/09,1,0,0
ua 87/07,1,0,0
ua 135/09,1,0,0
|subject:  first update ua 112/13 on egypt issued on (23 may 2013),1,0,0
ua 135/05,1,0,0
two female activist leaders,1,4,0
ua 308/09,1,0,0
ua 308/08,1,0,0
ua 357/03,1,0,0
ua 357/02,1,0,0
ua 286/04,1,0,0
ua 59/09,1,0,0
ua 186/03,1,0,0
ua 45/03,1,0,0
ua 149/05,1,0,0
ua 288/08,1,0,0
ua 288/09,1,0,0
ua 288/02,1,0,0
ua 288/06,1,0,0
ua 288/04,1,0,0
ua 257/03,1,0,0
ua 257/07,1,0,0
ua 257/04,1,0,0
ua 257/05,1,0,0
ua 257/08,1,0,0
ua 51/10,1,0,0
(ua 110/11),1,0,0
hungary,1,3,0
medical action ma # 16/04,1,5,12
ua 137/03,1,0,0
ua 137/04,1,0,0
ua 137/09,1,0,0
ua 275/03,1,0,0
ua 318/07,1,0,0
ua 131/07,1,0,0
ua 131/06,1,0,0
ua 131/04,1,0,0
ua 133/09,1,0,0
ua 133/08,1,0,0
ua 50/10,1,0,0
ua 133/07,1,0,0
ua 131/09,1,0,0
ua 131/08,1,0,0
ua 40/06,1,0,0
ua 55/07,1,0,0
ua 55/06,1,0,0
ua 284/09,1,0,0
ua 118/10,1,0,0
isreal,1,3,0
ua 40/09,1,0,0
medical action ma 15/04,1,5,12
ua 229/10,1,0,0
ua 53/09,1,0,0
ua 366/00,1,0,0
ua 53/07,1,0,0
ua 262/07,1,0,0
ua 117/11,1,0,0
ua 251/04,1,0,0
ua 251/06,1,0,0
ua 251/07,1,0,0
travellers,1,4,0
ua 115/11,1,0,0
ua 253/06,1,0,0
ua 253/05,1,0,0
ua 253/03,1,0,0
ua 147/10,1,0,0
ua 230/03,1,0,0
ua 230/05,1,0,0
ua 230/04,1,0,0
ua 47/06,1,0,0
ua 114/11,1,0,0
ua 114/10,1,0,0
healm,1,0,0
uaa001/10,1,0,0
ua 236/09,1,0,0
ua 236/06,1,0,0
ua 236/05,1,0,0
ua 236/04,1,0,0
|subject:  final update to ua 239/11 on serbia,1,0,0
ua 143/07,1,0,0
ua 143/04,1,0,0
|subject:  final update to ua 262/11 on mexico,1,0,0
ua 25/08,1,0,0
ua 81/09,1,0,0
ua 81/05,1,0,0
ua 143/09,1,0,0
ua 171/08,1,0,0
medical action # ma 5/05,1,5,12
ua 130/06,1,0,0
ua 234/05,1,0,0
ua 234/07,1,0,0
ua 156/05,1,0,0
ua 234/09,1,0,0
ua 234/08,1,0,0
ua 83/06,1,0,0
ua 83/07,1,0,0
ua 200/10,1,0,0
ua 83/08,1,0,0
ua 83/09,1,0,0
ua 86/10,1,0,0
ua 86/11,1,0,0
ua 156/03,1,0,0
ua 206/11,1,0,0
ua 206/10,1,0,0
(ua 117/11),1,0,0
ua 57/04,1,0,0
ua 258/07,1,0,0
ua 258/06,1,0,0
ua 258/04,1,0,0
ua 258/09,1,0,0
ua 201/09,1,0,0
ua 204/10,1,0,0
|subject:  final update to ua 128/09 on russia,1,0,0
ua 325/05,1,0,0
deathy penalty,1,2,2
ill-treatment#unjust arrest,1,2,5
ua 87/11,1,0,0
ua 87/10,1,0,0
ua 174/05,1,0,0
ua 51/04,1,0,0
ua 135/10,1,0,0
ua 360/02,1,0,0
uaa257/10,1,0,0
ua 282/08,1,0,0
ua 145/04,1,0,0
ua 120/08,1,0,0
ua 282/04,1,0,0
ua 282/05,1,0,0
ua 282/07,1,0,0
ua 1306/09,1,0,0
ua 282/03,1,0,0
|subject:  final update to ua 224/11 on syria,1,0,0
ua 149/09,1,0,0
ua 283/04,1,0,0
uaa 189/09,1,0,0
uaa338/09,1,0,0
ua 149/07,1,0,0
|subject:  ua 111/05 on pakistan,1,0,0
ua 209/08,1,0,0
(ua 51/11),1,0,0
ua 209/05,1,0,0
ua 209/07,1,0,0
ua 209/06,1,0,0
ua 254/03,1,0,0
ua 254/06,1,0,0
ua 254/05,1,0,0
ua 254/09,1,0,0
ua 51/09,1,0,0
ua 51/07,1,0,0
ua 51/05,1,0,0
(ua 16/11),1,0,0
ua 67/06,1,0,0
(ua 34/11),1,0,0
non-government organization,1,4,0
ua 345/08,1,0,0
ua 137/10,1,0,0
ua 116/09,1,0,0
ua 131/10,1,0,0
ua 359/02,1,0,0
|subject:  ua 229/11 on colombia,1,0,0
ua 133/11,1,0,0
ua 205/05,1,0,0
ua 118/08,1,0,0
ua 118/09,1,0,0
uas 2011. opposition figures,1,4,0
ua 09/09,1,0,0
ua 118/03,1,0,0
|subject:  final update to ua 181/12 on belarus (issued 19 march 2012),1,0,0
ua 118/05,1,0,0
ua 88/11,1,0,0
ua 231/11,1,0,0
medical action ma 6/05,1,5,12
ua 343/03,1,0,0
ua 205/03,1,0,0
ua 205/02,1,0,0
ua 22/08,1,0,0
ua 223/04,1,0,0
ua 65/07,1,0,0
ua 65/08,1,0,0
ua 65/09,,0,0
ua 22/07,1,0,0
ua 128/07,1,0,0
ua 167/09,1,0,0
ua 352/03,1,0,0
ua 22/06,1,0,0
medical action ma 5/04,1,5,12
ns 5/00,1,0,0
uaa 159/10,1,0,0
ua 124/03,1,0,0
ua 80/10,1,0,0
ua 309/05,1,0,0
medical action ma 12/03,1,5,12
ua 230/10,1,0,0
ua 230/11,1,0,0
ua 147/06,1,0,0
ua 147/07,1,0,0
ua 63/08,1,0,0
ua 63/09,1,0,0
ua 26208,1,0,0
ua 114/09,1,0,0
ua 114/07,1,0,0
ua 116/03,1,0,0
ua 20/04,1,0,0
ua 297/06,1,0,0
ua 6/03,1,0,0
|subject:  second update to ua 165/11 on india,1,0,0
ua 297/04,1,0,0
medical action ma 14/04,1,0,0
ua 81/10,1,0,0
medical action ma 14/02,1,0,0
ua 139/08,1,0,0
ua 211/06,1,0,0
ua 17/05,1,0,0
ua11/11,1,0,0
ua 234/10,1,0,0
|subject:  ua 204/11 on nigeria,1,0,0
ua 200/08,1,0,0
ua 83/10,1,0,0
ua 142/05,1,0,0
(ua 190/10),1,0,0
ua 200/07,1,0,0
south africa,1,3,0
ua 206/08,1,0,0
medical action ma 10/04,1,5,12
ua 235/10,1,0,0
ua 82/10,1,0,0
ua 82/11,1,0,0
brothers,1,4,0
ua 210/08,1,0,0
medical action ma 18/03,1,5,12
ua 018/09,1,0,0
ua130/10,1,0,0
ua 289/07,1,0,0
ua 289/06,1,0,0
uaa 243/10,1,0,0
|subject:  first update to ua 147/11 on india,1,0,0
ua 277/03,1,0,0
(ua 54/11),1,0,0
(ua 86/11),1,0,0
ua 5/06,1,0,0
ua 134/07,1,0,0
ua 58/09,1,0,0
ua 134/03,1,0,0
ua 258/10,1,0,0
ua 258/11,1,0,0
ua 134/09,1,0,0
ua 09/08,1,0,0
ua 104/11,1,0,0
ua 152/07,1,0,0
ua 283/03,1,0,0
ua 194/11,1,0,0
|subject:  second update to ua 212/11 on indonesia,1,0,0
medical action ma 3/06,1,5,12
ua 209/10,1,0,0
medical action ma 3/05,1,0,0
